Experiment,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC
LightGBM_FE_v2_threshold,0.4899999999999998,0.992,0.8979591836734694,0.8627450980392157,0.88,0.9820024628208771
LightGBM_FE_v2_threshold,0.4999999999999998,0.992,0.8979591836734694,0.8627450980392157,0.88,0.9820024628208771
LightGBM_FE_v2_threshold,0.5099999999999998,0.992,0.8979591836734694,0.8627450980392157,0.88,0.9820024628208771
LightGBM_FE_v2_threshold,0.5199999999999998,0.992,0.8979591836734694,0.8627450980392157,0.88,0.9820024628208771
LightGBM_FE_v2_threshold,0.5299999999999998,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9820024628208771
LightGBM_FE_v2_threshold,0.5399999999999998,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9820024628208771
LightGBM_FE_v2_threshold,0.5499999999999998,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9820024628208771
LightGBM_FE_v2_threshold,0.5599999999999998,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9820024628208771
LightGBM_FE_v2_threshold,0.5699999999999997,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9820024628208771
LightGBM_FE_v2_threshold,0.5799999999999997,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9820024628208771
LightGBM_FE_v2_threshold,0.5899999999999997,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9820024628208771
LightGBM_FE_v2_threshold,0.5999999999999998,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9820024628208771
LightGBM_FE_v2_threshold,0.6099999999999998,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9820024628208771
LightGBM_FE_v2_threshold,0.6199999999999998,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9820024628208771
LightGBM_FE_v2_threshold,0.6299999999999998,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9820024628208771
LightGBM_FE_v2_threshold,0.6399999999999997,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9820024628208771
LightGBM_FE_v2_threshold,0.6499999999999997,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9820024628208771
LightGBM_FE_v2_threshold,0.6599999999999997,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9820024628208771
LightGBM_FE_v2_threshold,0.6699999999999997,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9820024628208771
LightGBM_FE_v2_threshold,0.6799999999999997,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9820024628208771
LightGBM_FE_v2_threshold,0.6899999999999997,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9820024628208771
LightGBM_FE_v2_threshold,0.6999999999999997,0.992,0.9148936170212766,0.8431372549019608,0.8775510204081632,0.9820024628208771
LightGBM_FE_v2_threshold,0.7099999999999997,0.992,0.9148936170212766,0.8431372549019608,0.8775510204081632,0.9820024628208771
LightGBM_FE_v2_threshold,0.7199999999999998,0.992,0.9148936170212766,0.8431372549019608,0.8775510204081632,0.9820024628208771
LightGBM_FE_v2_threshold,0.7299999999999996,0.992,0.9148936170212766,0.8431372549019608,0.8775510204081632,0.9820024628208771
LightGBM_FE_v2_threshold,0.7399999999999997,0.992,0.9148936170212766,0.8431372549019608,0.8775510204081632,0.9820024628208771
